,,,,
Year,"Population, total",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population)
1960,3031437775.0,37.172769284188796,57.857212126599705,4.9700185892115005
1961,3072480998.0,37.3493978325141,57.6336265068133,5.01697566067259
1962,3125456671.0,37.5715151363972,57.385873737888794,5.04261112571407
1963,3190564032.0,37.7813235491351,57.166387788798104,5.052288662066809
1964,3256064767.0,37.9023295512955,57.040942244274504,5.0567282044300095
1965,3322973367.0,37.9162745538424,57.0258670654146,5.05785838074305
1966,3393031801.0,38.0038269742696,56.8816046228779,5.11456840285246
1967,3462460201.0,37.9573702748297,56.8740430137226,5.16858671144764
1968,3532826854.0,37.830122486265005,56.951714558963296,5.21816295477167
1969,3607499991.0,37.6788199641691,57.0581645911857,5.2630154446452
1970,3682911039.0,37.5427809361355,57.1552538934822,5.30196517038229
1971,3760509002.0,37.466145843015596,57.16513710853311,5.368717048451249
1972,3836892580.0,37.3667135727093,57.2058397088334,5.42744671845728
1973,3912347640.0,37.245442748214,57.275019785529096,5.47953746625693
1974,3988478324.0,37.0742727593284,57.39602282063439,5.5297044200372
1975,4062864562.0,36.845016390701105,57.5757220783054,5.579261530993559
1976,4135418002.0,36.6324369946426,57.708977470887696,5.658585534469769
1977,4207766711.0,36.35537942248521,57.90819018476439,5.7364303927504405
1978,4281312782.0,36.030228096604,58.162901185131204,5.80687071826484
1979,4356746035.0,35.6819916462075,58.4575433010003,5.8604650527921605
1980,4432925590.0,35.33094954101411,58.776207196506704,5.89284326247916
1981,4511137170.0,34.9957566134071,59.0768088531452,5.927434533447781
1982,4592341169.0,34.6845505393521,59.37928757764111,5.93616188300688
1983,4674266079.0,34.3870913470207,59.68097857764629,5.93193007533304
1984,4755914211.0,34.0920344058281,59.977806883564995,5.93015871060684
1985,4839074592.0,33.8001085293128,60.26111822310221,5.93877324758497
1986,4924736807.0,33.6304375309764,60.393811421507905,5.97575104751567
1987,5012555212.0,33.448881338067196,60.53505776492,6.01606089701282
1988,5101297281.0,33.2615538291184,60.678030089031495,6.060416081850179
1989,5189996799.0,33.065311187995896,60.8253654369914,6.10932337501275
1990,5280076284.0,32.8573354500794,60.981068236669906,6.16159631325071
1991,5368065408.0,32.7374651155119,61.027696892273,6.23483799221521
1992,5452349932.0,32.5354202734377,61.14974787917979,6.31483184738249
1993,5537511534.0,32.2831885968721,61.323546029424,6.393265373703869
1994,5621787194.0,32.0213283574639,61.5138834944902,6.4647881480458995
1995,5706689090.0,31.7657147967095,61.7085191326461,6.52576607064437
1996,5789623839.0,31.423058214376002,61.9634823313202,6.61345945430377
1997,5872254361.0,31.142110343378402,62.174461236775294,6.683428419846329
1998,5954005524.0,30.873696807059396,62.38224634914471,6.744056843796001
1999,6034491778.0,30.5527923984899,62.6412037620966,6.80600383941356
2000,6114332536.0,30.1581954966186,62.96771432153479,6.8740901818466105
2001,6193671787.0,29.824721154056203,63.21711392114321,6.9581649248006
2002,6272752974.0,29.4135464833786,63.540964825927496,7.04548869069386
2003,6351882361.0,28.9637193867385,63.9058568643758,7.130423748885669
2004,6431551644.0,28.5406214628097,64.2570556087916,7.2023229283987495
2005,6511748367.0,28.1777542174702,64.5646846351064,7.25756114742335
2006,6592734542.0,27.8758956079056,64.7965655455131,7.327538846581299
2007,6674203658.0,27.6218605506578,64.9947897965482,7.38334965279406
2008,6756917904.0,27.4069445201475,65.1584265550791,7.434628924773491
2009,6839574284.0,27.2092515515278,65.29754674645899,7.49320170201316
2010,6921871614.0,27.0154361683035,65.4174220166435,7.567141815053019
2011,7002860604.0,26.8583231658647,65.47377218333901,7.667904650796349
2012,7085763408.0,26.6941200115422,65.5249627290531,7.7809172594047
2013,7169640142.0,26.5292486107741,65.5624423534255,7.9083090358003405
2014,7254228377.0,26.369451489086,65.5758196340504,8.05472887686356
2015,7338964960.0,26.215703805546198,65.5613661395616,8.22293005489227
2016,7424282488.0,26.0741228258783,65.4991112069102,8.42676596721152
2017,7509065705.0,25.9352650201403,65.41891330012571,8.645821679734059
2018,7591932906.5,25.795971281553197,65.3308998355387,8.87312888290815
2019,7673533972,25.6488355687986,65.2520417484969,9.09912268270451
