,index,date,total_cases,stock
0,5612,2020-01-31,3,14.081000328063965
1,5613,2020-02-01,3,
2,5614,2020-02-02,3,
3,5615,2020-02-03,3,13.958000183105469
4,5616,2020-02-04,3,14.184999942779541
5,5617,2020-02-05,3,14.363000392913818
6,5618,2020-02-06,3,14.610000133514404
7,5619,2020-02-07,3,14.618000030517578
8,5620,2020-02-08,3,
9,5621,2020-02-09,3,
10,5622,2020-02-10,3,14.656000137329102
11,5623,2020-02-11,3,14.745999813079834
12,5624,2020-02-12,3,14.855000019073486
13,5625,2020-02-13,3,14.800999641418457
14,5626,2020-02-14,3,14.901000022888184
15,5627,2020-02-15,3,
16,5628,2020-02-16,3,
17,5629,2020-02-17,3,14.97100019454956
18,5630,2020-02-18,3,15.093000411987305
19,5631,2020-02-19,3,15.191999912261963
20,5632,2020-02-20,3,15.151999950408936
21,5633,2020-02-21,3,14.894999980926514
22,5634,2020-02-22,17,
23,5635,2020-02-23,79,
24,5636,2020-02-24,132,14.08400011062622
25,5637,2020-02-25,229,13.940999984741211
26,5638,2020-02-26,322,13.842999935150146
27,5639,2020-02-27,400,13.625999927520752
28,5640,2020-02-28,650,13.172999858856201
29,5641,2020-02-29,888,
30,5642,2020-03-01,1128,
31,5643,2020-03-02,1689,12.983999729156494
32,5644,2020-03-03,2036,13.157000064849854
33,5645,2020-03-04,2502,13.092000007629395
34,5646,2020-03-05,3089,12.97100019454956
35,5647,2020-03-06,3858,12.48900032043457
36,5648,2020-03-07,4636,
37,5649,2020-03-08,5883,
38,5650,2020-03-09,7375,11.574999809265137
39,5651,2020-03-10,9172,11.064000129699707
40,5652,2020-03-11,10149,10.782999992370605
41,5653,2020-03-12,12462,9.617500305175781
42,5654,2020-03-13,15113,9.861999988555908
43,5655,2020-03-14,17660,
44,5656,2020-03-15,21157,
45,5657,2020-03-16,23980,8.852499961853027
46,5658,2020-03-17,27980,9.131499767303467
47,5659,2020-03-18,31506,9.037499904632568
48,5660,2020-03-19,35713,9.244999885559082
49,5661,2020-03-20,41035,9.504499912261963
50,5662,2020-03-21,47021,
51,5663,2020-03-22,53578,
52,5664,2020-03-23,59138,9.21500015258789
53,5665,2020-03-24,63927,10.003499984741211
54,5666,2020-03-25,69176,10.309999942779541
55,5667,2020-03-26,74386,10.257999897003174
56,5668,2020-03-27,80539,10.142999649047852
57,5669,2020-03-28,86498,
58,5670,2020-03-29,92472,
59,5671,2020-03-30,97689,9.955000400543213
60,5672,2020-03-31,101739,10.178999900817871
61,5673,2020-04-01,105792,9.986999988555908
62,5674,2020-04-02,110574,9.972000122070312
63,5675,2020-04-03,115242,9.949999809265137
64,5676,2020-04-04,119827,
65,5677,2020-04-05,124632,
66,5678,2020-04-06,128948,10.146999835968018
67,5679,2020-04-07,132547,
68,5680,2020-04-08,135586,
69,5681,2020-04-09,139422,
70,5682,2020-04-10,143626,
71,5683,2020-04-11,147577,
72,5684,2020-04-12,152271,
73,5685,2020-04-13,156363,
74,5686,2020-04-14,159516,
75,5687,2020-04-15,162488,
76,5688,2020-04-16,165155,
77,5689,2020-04-17,168941,
